Municipio,M1_V,M1_a,M1_r,M1_ndR,M1_nd,M1_nm,M2_V,M2_a,M2_r,M2_ndR,M2_nd,M2_nm,M3_V,M3_a,M3_r,M3_ndR,M3_nd,M3_nm,M4_V,M4_a,M4_r,M4_ndR,M4_nd,M4_nm,M5_V,M5_a,M5_r,M5_ndR,M5_nd,M5_nm,M6_V,M6_a,M6_r,M6_ndR,M6_nd,M6_nm,M7_V,M7_a,M7_r,M7_ndR,M7_nd,M7_nm,M8_V,M8_a,M8_r,M8_ndR,M8_nd,M8_nm,T_v,T_a,T_r,T_ndR,T_nd,T_nm
Santiago Tulantepec de Lugo Guerrero,1.0,2.0,9.0,0.0,0.0,8.0,1.0,3.0,7.0,0.0,0.0,8.0,1.0,2.0,14.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,5.0,12.0,83.0,0.0,14.0,17.0
Singuilucan,4.0,5.0,5.0,0.0,0.0,6.0,6.0,3.0,2.0,4.0,0.0,4.0,1.0,6.0,7.0,3.0,1.0,0.0,0.0,0.0,7.0,5.0,6.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,16.0,23.0,57.0,13.0,10.0,12.0
Tasquillo,7.0,5.0,8.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,8.0,6.0,0.0,8.0,3.0,1.0,0.0,0.0,7.0,0.0,2.0,9.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,8.0,9.0,7.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,30.0,31.0,41.0,8.0,13.0,8.0
Tecozautla,3.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,8.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,3.0,96.0,3.0,14.0,10.0
Tenango de Doria,12.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,8.0,3.0,0.0,8.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,12.0,0.0,89.0,3.0,14.0,13.0
Tepeapulco,5.0,8.0,6.0,0.0,0.0,1.0,9.0,2.0,8.0,0.0,0.0,0.0,2.0,6.0,9.0,0.0,1.0,0.0,12.0,2.0,3.0,0.0,1.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,1.0,6.0,17.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,1.0,34.0,40.0,52.0,0.0,3.0,2.0
Tepehuacán de Guerrero,4.0,6.0,4.0,0.0,0.0,6.0,6.0,2.0,6.0,3.0,0.0,2.0,0.0,6.0,4.0,7.0,1.0,0.0,0.0,3.0,5.0,0.0,10.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,6.0,8.0,10.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,19.0,33.0,47.0,10.0,14.0,8.0
Tepeji del Río de Ocampo,10.0,3.0,5.0,0.0,0.0,2.0,11.0,3.0,3.0,0.0,0.0,2.0,0.0,8.0,9.0,0.0,1.0,0.0,8.0,7.0,2.0,0.0,1.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,3.0,9.0,12.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,38.0,40.0,45.0,0.0,4.0,4.0
Tepetitlán,15.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,8.0,1.0,3.0,13.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,10.0,0.0,1.0,7.0,2.0,0.0,1.0,0.0,2.0,13.0,9.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,27.0,43.0,39.0,0.0,14.0,8.0
Tetepango,10.0,7.0,3.0,0.0,0.0,0.0,10.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,4.0,7.0,1.0,0.0,5.0,4.0,2.0,1.0,6.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,3.0,8.0,13.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,34.0,36.0,37.0,11.0,8.0,5.0
Tezontepec de Aldama,0.0,1.0,11.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,0.0,9.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,97.0,0.0,14.0,19.0
Tianguistengo,0.0,3.0,9.0,0.0,0.0,8.0,1.0,6.0,1.0,3.0,0.0,8.0,0.0,2.0,8.0,7.0,1.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,1.0,21.0,64.0,17.0,10.0,18.0
Tizayuca,20.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,3.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,3.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,118.0,5.0,2.0,3.0,3.0,0.0
Tlahuelilpan,1.0,5.0,7.0,0.0,0.0,7.0,2.0,1.0,5.0,4.0,0.0,7.0,0.0,5.0,12.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,3.0,16.0,78.0,4.0,14.0,16.0
Tlahuiltepa,13.0,2.0,3.0,0.0,0.0,2.0,8.0,3.0,3.0,4.0,0.0,1.0,3.0,4.0,3.0,7.0,1.0,0.0,2.0,5.0,0.0,2.0,9.0,0.0,5.0,3.0,1.0,1.0,1.0,0.0,13.0,6.0,5.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,56.0,29.0,16.0,14.0,13.0,3.0
Tlanalapa,2.0,7.0,4.0,0.0,0.0,7.0,0.0,4.0,4.0,3.0,0.0,8.0,2.0,4.0,11.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,6.0,23.0,68.0,3.0,14.0,17.0
Tlanchinol,0.0,6.0,6.0,0.0,0.0,8.0,8.0,4.0,3.0,3.0,0.0,1.0,1.0,7.0,9.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,10.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,18.0,39.0,48.0,3.0,14.0,9.0
Tlaxcoapan,5.0,6.0,7.0,0.0,0.0,2.0,5.0,0.0,9.0,3.0,0.0,2.0,0.0,4.0,6.0,7.0,1.0,0.0,2.0,3.0,5.0,1.0,7.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,4.0,16.0,4.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,24.0,39.0,43.0,11.0,10.0,4.0
Tolcayuca,5.0,5.0,5.0,0.0,0.0,5.0,7.0,2.0,4.0,3.0,0.0,3.0,0.0,6.0,11.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,15.0,32.0,59.0,3.0,14.0,8.0
Tula de Allende,11.0,3.0,4.0,0.0,0.0,2.0,7.0,2.0,4.0,3.0,0.0,3.0,4.0,6.0,8.0,0.0,0.0,0.0,6.0,5.0,3.0,0.0,4.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,58.0,37.0,24.0,3.0,4.0,5.0
Tulancingo de Bravo,14.0,2.0,4.0,0.0,0.0,0.0,14.0,1.0,4.0,0.0,0.0,0.0,6.0,3.0,5.0,4.0,0.0,0.0,3.0,4.0,3.0,0.0,8.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,74.0,19.0,25.0,4.0,8.0,1.0
Villa de Tezontepec,2.0,10.0,1.0,0.0,0.0,7.0,7.0,6.0,0.0,3.0,0.0,3.0,2.0,12.0,3.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,3.0,18.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,15.0,73.0,14.0,3.0,14.0,12.0
Xochiatipan,7.0,2.0,6.0,0.0,0.0,5.0,4.0,3.0,7.0,0.0,0.0,5.0,1.0,5.0,11.0,0.0,1.0,0.0,6.0,1.0,7.0,0.0,4.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,21.0,24.0,68.0,0.0,7.0,11.0
Xochicoatlán,5.0,3.0,6.0,0.0,0.0,6.0,4.0,2.0,4.0,3.0,0.0,6.0,1.0,1.0,8.0,7.0,1.0,0.0,1.0,5.0,2.0,0.0,10.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,3.0,5.0,16.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,15.0,23.0,55.0,10.0,14.0,14.0
Yahualica,1.0,8.0,3.0,0.0,0.0,8.0,6.0,8.0,0.0,3.0,0.0,2.0,1.0,4.0,5.0,7.0,1.0,0.0,0.0,1.0,6.0,1.0,10.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,3.0,12.0,9.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,13.0,48.0,33.0,11.0,14.0,12.0
Zacualtipán de Ángeles,17.0,0.0,1.0,0.0,0.0,2.0,16.0,2.0,1.0,0.0,0.0,0.0,15.0,1.0,2.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,18.0,0.0,6.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,106.0,9.0,12.0,0.0,0.0,4.0
Zapotlán de Juárez,5.0,4.0,5.0,0.0,0.0,6.0,2.0,5.0,6.0,0.0,0.0,6.0,3.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,13.0,7.0,4.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,27.0,27.0,48.0,1.0,14.0,14.0
Zempoala,5.0,10.0,4.0,0.0,0.0,1.0,10.0,2.0,4.0,3.0,0.0,0.0,1.0,11.0,5.0,0.0,1.0,0.0,1.0,9.0,2.0,0.0,6.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,6.0,15.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,33.0,59.0,28.0,3.0,7.0,1.0
Zimapán,10.0,6.0,3.0,0.0,0.0,1.0,15.0,0.0,3.0,0.0,0.0,1.0,2.0,11.0,4.0,0.0,1.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,81.0,35.0,12.0,0.0,1.0,2.0
