Municipio,M1_V,M1_a,M1_r,M1_ndR,M1_nd,M1_nm,M2_V,M2_a,M2_r,M2_ndR,M2_nd,M2_nm,M3_V,M3_a,M3_r,M3_ndR,M3_nd,M3_nm,M4_V,M4_a,M4_r,M4_ndR,M4_nd,M4_nm,M5_V,M5_a,M5_r,M5_ndR,M5_nd,M5_nm,M6_V,M6_a,M6_r,M6_ndR,M6_nd,M6_nm,M7_V,M7_a,M7_r,M7_ndR,M7_nd,M7_nm,M8_V,M8_a,M8_r,M8_ndR,M8_nd,M8_nm,T_v,T_a,T_r,T_ndR,T_nd,T_nm
Acatlán,14.0,3.0,3.0,0.0,0.0,0.0,13.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,3.0,0.0,5.0,3.0,1.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,77.0,9.0,30.0,0.0,16.0,0.0
Acaxochitlán,17.0,0.0,3.0,0.0,0.0,0.0,16.0,1.0,2.0,0.0,0.0,0.0,8.0,5.0,4.0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,9.0,0.0,5.0,2.0,3.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,93.0,14.0,12.0,0.0,13.0,0.0
Actopan,16.0,3.0,1.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,45.0,8.0,7.0,0.0,72.0,0.0
Agua Blanca de Iturbide,5.0,9.0,6.0,0.0,0.0,0.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,18.0,16.0,14.0,0.0,84.0,0.0
Ajacuba,4.0,8.0,8.0,0.0,0.0,0.0,11.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,3.0,0.0,0.0,2.0,6.0,0.0,11.0,0.0,2.0,4.0,4.0,0.0,1.0,0.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,35.0,30.0,52.0,0.0,15.0,0.0
Alfajayucan,14.0,4.0,2.0,0.0,0.0,0.0,9.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,12.0,5.0,2.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,71.0,21.0,32.0,7.0,1.0,0.0
Almoloya,19.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,3.0,0.0,0.0,10.0,5.0,3.0,0.0,0.0,0.0,13.0,4.0,2.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,16.0,1.0,7.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,80.0,18.0,31.0,3.0,0.0,0.0
Apan,14.0,3.0,3.0,0.0,0.0,0.0,13.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,30.0,11.0,7.0,0.0,84.0,0.0
Atitalaquia,15.0,2.0,3.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,3.0,0.0,1.0,0.0,7.0,4.0,1.0,0.0,7.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,97.0,14.0,12.0,0.0,9.0,0.0
Atlapexco,4.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,3.0,8.0,13.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,13.0,15.0,82.0,0.0,22.0,0.0
