Municipio,M1_V,M1_a,M1_r,M1_ndR,M1_nd,M1_nm,M2_V,M2_a,M2_r,M2_ndR,M2_nd,M2_nm,M3_V,M3_a,M3_r,M3_ndR,M3_nd,M3_nm,M4_V,M4_a,M4_r,M4_ndR,M4_nd,M4_nm,M5_V,M5_a,M5_r,M5_ndR,M5_nd,M5_nm,M6_V,M6_a,M6_r,M6_ndR,M6_nd,M6_nm,M7_V,M7_a,M7_r,M7_ndR,M7_nd,M7_nm,M8_V,M8_a,M8_r,M8_ndR,M8_nd,M8_nm,T_v,T_a,T_r,T_ndR,T_nd,T_nm
Atotonilco de Tula,7.0,2.0,3.0,0.0,0.0,5.0,14.0,1.0,2.0,2.0,0.0,0.0,13.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,10.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,10.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,57.0,17.0,21.0,2.0,13.0,5.0
Atotonilco el Grande,4.0,9.0,3.0,0.0,0.0,1.0,8.0,2.0,7.0,2.0,0.0,0.0,2.0,4.0,3.0,7.0,1.0,0.0,1.0,7.0,1.0,1.0,8.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,4.0,10.0,2.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,30.0,42.0,23.0,10.0,9.0,1.0
Calnali,5.0,5.0,5.0,0.0,0.0,2.0,2.0,5.0,9.0,0.0,2.0,1.0,2.0,2.0,9.0,3.0,1.0,0.0,2.0,3.0,4.0,0.0,9.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,18.0,27.0,47.0,3.0,15.0,5.0
Cardonal,15.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,3.0,0.0,1.0,0.0,5.0,5.0,7.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,6.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,67.0,21.0,19.0,0.0,8.0,0.0
Chapantongo,10.0,3.0,4.0,0.0,0.0,0.0,12.0,0.0,5.0,2.0,0.0,0.0,6.0,1.0,3.0,7.0,0.0,0.0,4.0,6.0,3.0,0.0,5.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,58.0,22.0,21.0,9.0,5.0,0.0
Chapulhuacán,9.0,5.0,2.0,0.0,0.0,1.0,11.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,6.0,7.0,1.0,0.0,4.0,6.0,1.0,0.0,7.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,36.0,28.0,29.0,9.0,12.0,1.0
Chilcuautla,10.0,0.0,7.0,0.0,0.0,0.0,13.0,1.0,3.0,2.0,0.0,0.0,6.0,6.0,2.0,3.0,0.0,0.0,9.0,7.0,0.0,0.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,11.0,3.0,2.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,72.0,19.0,17.0,5.0,2.0,0.0
Cuautepec de Hinojosa,15.0,1.0,1.0,0.0,0.0,0.0,16.0,1.0,2.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,0.0,1.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,96.0,10.0,8.0,0.0,1.0,0.0
El Arenal,8.0,3.0,6.0,0.0,0.0,0.0,11.0,2.0,1.0,2.0,3.0,0.0,7.0,2.0,0.0,7.0,1.0,0.0,1.0,2.0,5.0,0.0,10.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,36.0,22.0,32.0,9.0,15.0,1.0
Eloxochitlán,12.0,1.0,2.0,0.0,0.0,2.0,8.0,2.0,7.0,2.0,0.0,0.0,2.0,4.0,7.0,3.0,1.0,0.0,10.0,5.0,1.0,1.0,1.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,6.0,9.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,48.0,23.0,33.0,6.0,3.0,2.0
Emiliano Zapata,3.0,6.0,6.0,0.0,0.0,2.0,7.0,6.0,4.0,2.0,0.0,0.0,1.0,4.0,4.0,7.0,1.0,0.0,3.0,3.0,4.0,1.0,7.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,19.0,30.0,43.0,10.0,11.0,2.0
Epazoyucan,10.0,3.0,4.0,0.0,0.0,0.0,13.0,0.0,3.0,3.0,0.0,0.0,10.0,3.0,0.0,4.0,0.0,0.0,11.0,2.0,1.0,4.0,0.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,79.0,14.0,10.0,12.0,0.0,0.0
Francisco I. Madero,15.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,2.0,2.0,0.0,0.0,5.0,2.0,3.0,7.0,0.0,0.0,4.0,6.0,0.0,0.0,8.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0,6.0,3.0,7.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,53.0,23.0,19.0,9.0,10.0,1.0
Huasca de Ocampo,12.0,2.0,3.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,1.0,0.0,6.0,6.0,3.0,0.0,3.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,76.0,14.0,13.0,7.0,5.0,0.0
Huautla,9.0,2.0,6.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,4.0,0.0,4.0,3.0,9.0,0.0,1.0,0.0,2.0,9.0,2.0,0.0,5.0,0.0,1.0,1.0,7.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,54.0,18.0,32.0,0.0,11.0,0.0
Huazalingo,8.0,1.0,4.0,0.0,0.0,4.0,10.0,0.0,7.0,0.0,1.0,1.0,1.0,3.0,12.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,9.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,35.0,6.0,54.0,0.0,13.0,7.0
Huehuetla,9.0,2.0,6.0,0.0,0.0,0.0,8.0,0.0,8.0,3.0,0.0,0.0,12.0,1.0,1.0,3.0,0.0,0.0,11.0,6.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,64.0,13.0,32.0,6.0,0.0,0.0
Huejutla de Reyes,10.0,5.0,1.0,0.0,0.0,1.0,14.0,3.0,2.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,1.0,0.0,6.0,8.0,0.0,0.0,4.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,66.0,29.0,10.0,3.0,6.0,1.0
Huichapan,14.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,3.0,2.0,2.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,11.0,3.0,0.0,0.0,4.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,86.0,4.0,16.0,2.0,7.0,0.0
Ixmiquilpan,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,7.0,3.0,7.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,5.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,78.0,11.0,18.0,0.0,8.0,0.0
Jacala de Ledezma,5.0,6.0,6.0,0.0,0.0,0.0,9.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,10.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,1.0,9.0,6.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,19.0,29.0,52.0,1.0,14.0,0.0
Jaltocán,15.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,5.0,7.0,1.0,0.0,9.0,6.0,0.0,3.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,7.0,4.0,5.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,54.0,22.0,25.0,10.0,3.0,1.0
Juárez Hidalgo,6.0,4.0,5.0,0.0,0.0,2.0,12.0,0.0,4.0,2.0,1.0,0.0,5.0,0.0,11.0,0.0,1.0,0.0,6.0,5.0,1.0,0.0,6.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,55.0,17.0,28.0,2.0,11.0,2.0
La Misión,11.0,2.0,4.0,0.0,0.0,0.0,4.0,5.0,6.0,0.0,3.0,1.0,1.0,3.0,12.0,0.0,1.0,0.0,5.0,8.0,2.0,0.0,3.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,34.0,30.0,41.0,0.0,9.0,1.0
Lolotla,12.0,1.0,4.0,0.0,0.0,0.0,12.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,1.0,0.0,2.0,5.0,3.0,0.0,8.0,0.0,1.0,5.0,3.0,0.0,1.0,0.0,4.0,10.0,2.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,40.0,28.0,35.0,0.0,12.0,0.0
Metepec,5.0,5.0,6.0,0.0,0.0,1.0,14.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,6.0,7.0,1.0,0.0,6.0,4.0,7.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,5.0,4.0,7.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,41.0,17.0,44.0,7.0,5.0,1.0
Metztitlán,12.0,3.0,2.0,0.0,0.0,0.0,12.0,1.0,4.0,2.0,0.0,0.0,4.0,1.0,8.0,3.0,1.0,0.0,7.0,7.0,1.0,0.0,3.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,63.0,22.0,20.0,5.0,5.0,0.0
Mineral de la Reforma,17.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,3.0,0.0,0.0,9.0,0.0,1.0,7.0,0.0,0.0,11.0,2.0,0.0,4.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,92.0,3.0,4.0,15.0,1.0,0.0
Mineral del Chico,10.0,3.0,4.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,9.0,0.0,1.0,0.0,8.0,4.0,3.0,0.0,3.0,0.0,4.0,2.0,3.0,0.0,1.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,67.0,19.0,23.0,0.0,6.0,0.0
Mineral del Monte,10.0,3.0,4.0,0.0,0.0,0.0,13.0,0.0,3.0,3.0,0.0,0.0,7.0,1.0,4.0,4.0,1.0,0.0,12.0,3.0,1.0,2.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,77.0,14.0,13.0,10.0,1.0,0.0
Mixquiahuala de Juárez,8.0,1.0,5.0,0.0,0.0,3.0,11.0,0.0,6.0,0.0,2.0,0.0,4.0,3.0,7.0,3.0,0.0,0.0,4.0,6.0,1.0,0.0,7.0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,4.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,40.0,13.0,44.0,3.0,12.0,3.0
Molango de Escamilla,10.0,4.0,3.0,0.0,0.0,0.0,13.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,12.0,0.0,1.0,0.0,10.0,4.0,0.0,0.0,4.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,63.0,20.0,24.0,2.0,6.0,0.0
Nicolás Flores,11.0,2.0,4.0,0.0,0.0,0.0,13.0,0.0,4.0,2.0,0.0,0.0,6.0,3.0,8.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,9.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,57.0,13.0,33.0,2.0,10.0,0.0
Nopala de Villagrán,5.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,7.0,1.0,5.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,10.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,27.0,1.0,63.0,0.0,21.0,3.0
Omitlán de Juárez,12.0,1.0,4.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,3.0,0.0,5.0,4.0,7.0,0.0,1.0,0.0,7.0,10.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,71.0,22.0,17.0,0.0,5.0,0.0
Pachuca de Soto,11.0,4.0,2.0,0.0,0.0,0.0,11.0,0.0,5.0,3.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,4.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,88.0,10.0,8.0,8.0,1.0,0.0
Pacula,7.0,2.0,2.0,0.0,0.0,6.0,6.0,3.0,2.0,0.0,7.0,1.0,5.0,2.0,9.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,10.0,0.0,2.0,1.0,6.0,0.0,1.0,0.0,3.0,7.0,6.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,31.0,20.0,34.0,0.0,21.0,9.0
Pisaflores,8.0,2.0,2.0,0.0,0.0,5.0,10.0,2.0,6.0,0.0,1.0,0.0,0.0,4.0,12.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,8.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,5.0,3.0,8.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,31.0,26.0,39.0,0.0,13.0,6.0
Progreso de Obregón,11.0,5.0,1.0,0.0,0.0,0.0,11.0,2.0,4.0,2.0,0.0,0.0,5.0,4.0,1.0,7.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,11.0,3.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,71.0,23.0,12.0,9.0,0.0,0.0
San Agustín Metzquititlán,12.0,4.0,1.0,0.0,0.0,0.0,12.0,3.0,2.0,2.0,0.0,0.0,7.0,4.0,2.0,4.0,0.0,0.0,12.0,5.0,1.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,60.0,35.0,14.0,6.0,0.0,0.0
San Agustín Tlaxiaca,12.0,2.0,3.0,0.0,0.0,0.0,13.0,2.0,2.0,2.0,0.0,0.0,5.0,4.0,4.0,3.0,1.0,0.0,6.0,5.0,1.0,0.0,6.0,0.0,1.0,2.0,5.0,1.0,1.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,59.0,22.0,20.0,6.0,8.0,0.0
San Bartolo Tutotepec,11.0,1.0,4.0,0.0,0.0,1.0,9.0,3.0,1.0,2.0,4.0,0.0,6.0,0.0,4.0,7.0,0.0,0.0,7.0,2.0,0.0,1.0,8.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,65.0,9.0,16.0,10.0,13.0,2.0
San Felipe Orizatlán,12.0,4.0,1.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,3.0,1.0,0.0,4.0,4.0,0.0,1.0,9.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,81.0,14.0,6.0,4.0,10.0,0.0
San Salvador,8.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,7.0,1.0,3.0,0.0,6.0,7.0,1.0,0.0,5.0,2.0,3.0,0.0,8.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,10.0,3.0,3.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,43.0,15.0,31.0,9.0,16.0,1.0
Santiago de Anaya,13.0,3.0,1.0,0.0,0.0,0.0,15.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,5.0,7.0,1.0,0.0,9.0,6.0,2.0,0.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,77.0,12.0,17.0,7.0,2.0,0.0
Santiago Tulantepec de Lugo Guerrero,13.0,2.0,1.0,0.0,0.0,1.0,12.0,2.0,5.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,1.0,0.0,5.0,6.0,2.0,0.0,5.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,60.0,30.0,18.0,0.0,6.0,1.0
Singuilucan,7.0,2.0,6.0,0.0,0.0,2.0,3.0,2.0,4.0,3.0,6.0,1.0,6.0,2.0,4.0,4.0,1.0,0.0,4.0,3.0,2.0,4.0,5.0,0.0,5.0,0.0,3.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,49.0,9.0,27.0,12.0,15.0,3.0
Tasquillo,7.0,2.0,8.0,0.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,1.0,4.0,0.0,12.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,10.0,0.0,2.0,2.0,5.0,0.0,1.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,40.0,19.0,42.0,0.0,13.0,1.0
Tecozautla,3.0,11.0,3.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,7.0,1.0,9.0,1.0,6.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,10.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,35.0,34.0,25.0,0.0,19.0,2.0
